KeyConsult,KeyPatient,Name,FirstName,NumSecu,Date_In,Pathology,KeyChambre,ChambreNumber,Date_Out
KeyConsult24576,KeyPatient7174,Name7174,FistName7174,NS24577,2023-06-30T00:00:00.000+02:00,Pathology24,NULL,NULL,2023-06-30T00:00:00.000+02:00
KeyConsult24577,KeyPatient1409,Name1409,FistName1409,NS24578,2023-06-30T00:00:00.000+02:00,Pathology32,KeyChambre5,C005,2023-07-02T00:00:00.000+02:00
KeyConsult24578,KeyPatient32481,Name32481,FistName32481,NS24579,2023-06-30T00:00:00.000+02:00,Pathology5,KeyChambre25,C025,2023-07-04T00:00:00.000+02:00
KeyConsult24579,KeyPatient4453,Name4453,FistName4453,NS24580,2023-06-30T00:00:00.000+02:00,Pathology58,NULL,NULL,2023-06-30T00:00:00.000+02:00
KeyConsult24580,KeyPatient13536,Name13536,FistName13536,NS24581,2023-06-30T00:00:00.000+02:00,Pathology15,KeyChambre32,C032,2023-07-02T00:00:00.000+02:00
KeyConsult24581,KeyPatient30652,Name30652,FistName30652,NS24582,2023-06-30T00:00:00.000+02:00,Pathology59,KeyChambre71,C071,2023-07-01T00:00:00.000+02:00
KeyConsult24582,KeyPatient36010,Name36010,FistName36010,NS24583,2023-06-30T00:00:00.000+02:00,Pathology39,KeyChambre21,C021,2023-07-02T00:00:00.000+02:00
KeyConsult24583,KeyPatient40482,Name40482,FistName40482,NS24584,2023-06-30T00:00:00.000+02:00,Pathology99,KeyChambre63,C063,2023-07-06T00:00:00.000+02:00
KeyConsult24584,KeyPatient30591,Name30591,FistName30591,NS24585,2023-06-30T00:00:00.000+02:00,Pathology25,KeyChambre45,C045,2023-07-02T00:00:00.000+02:00
KeyConsult24585,KeyPatient17133,Name17133,FistName17133,NS24586,2023-06-30T00:00:00.000+02:00,Pathology83,KeyChambre2,C002,2023-07-16T00:00:00.000+02:00
KeyConsult24586,KeyPatient12840,Name12840,FistName12840,NS24587,2023-06-30T00:00:00.000+02:00,Pathology79,KeyChambre53,C053,2023-07-07T00:00:00.000+02:00
KeyConsult24587,KeyPatient27028,Name27028,FistName27028,NS24588,2023-06-30T00:00:00.000+02:00,Pathology81,KeyChambre72,C072,2023-07-10T00:00:00.000+02:00
KeyConsult24588,KeyPatient7262,Name7262,FistName7262,NS24589,2023-06-30T00:00:00.000+02:00,Pathology92,KeyChambre47,C047,2023-07-15T00:00:00.000+02:00
KeyConsult24589,KeyPatient3017,Name3017,FistName3017,NS24590,2023-06-30T00:00:00.000+02:00,Pathology28,KeyChambre8,C008,2023-07-01T00:00:00.000+02:00
KeyConsult24590,KeyPatient24339,Name24339,FistName24339,NS24591,2023-06-30T00:00:00.000+02:00,Pathology93,KeyChambre103,C103,2023-07-14T00:00:00.000+02:00
KeyConsult24591,KeyPatient49362,Name49362,FistName49362,NS24592,2023-06-30T00:00:00.000+02:00,Pathology18,NULL,NULL,2023-06-30T00:00:00.000+02:00
KeyConsult24592,KeyPatient31899,Name31899,FistName31899,NS24593,2023-06-30T00:00:00.000+02:00,Pathology6,KeyChambre23,C023,2023-07-03T00:00:00.000+02:00
KeyConsult24593,KeyPatient3385,Name3385,FistName3385,NS24594,2023-06-30T00:00:00.000+02:00,Pathology17,KeyChambre80,C080,2023-07-01T00:00:00.000+02:00
KeyConsult24594,KeyPatient20931,Name20931,FistName20931,NS24595,2023-06-30T00:00:00.000+02:00,Pathology5,KeyChambre82,C082,2023-07-01T00:00:00.000+02:00
KeyConsult24595,KeyPatient27532,Name27532,FistName27532,NS24596,2023-06-30T00:00:00.000+02:00,Pathology74,KeyChambre9,C009,2023-07-08T00:00:00.000+02:00
KeyConsult24596,KeyPatient18792,Name18792,FistName18792,NS24597,2023-06-30T00:00:00.000+02:00,Pathology89,KeyChambre101,C101,2023-07-11T00:00:00.000+02:00
KeyConsult24597,KeyPatient13793,Name13793,FistName13793,NS24598,2023-06-30T00:00:00.000+02:00,Pathology3,NULL,NULL,2023-06-30T00:00:00.000+02:00
KeyConsult24598,KeyPatient2555,Name2555,FistName2555,NS24599,2023-06-30T00:00:00.000+02:00,Pathology11,KeyChambre48,C048,2023-07-03T00:00:00.000+02:00
KeyConsult24599,KeyPatient35842,Name35842,FistName35842,NS24600,2023-06-30T00:00:00.000+02:00,Pathology43,NULL,NULL,2023-06-30T00:00:00.000+02:00
KeyConsult24600,KeyPatient46351,Name46351,FistName46351,NS24601,2023-06-30T00:00:00.000+02:00,Pathology21,NULL,NULL,2023-06-30T00:00:00.000+02:00
KeyConsult24601,KeyPatient1600,Name1600,FistName1600,NS24602,2023-06-30T00:00:00.000+02:00,Pathology84,KeyChambre28,C028,2023-07-05T00:00:00.000+02:00
KeyConsult24602,KeyPatient6270,Name6270,FistName6270,NS24603,2023-06-30T00:00:00.000+02:00,Pathology8,KeyChambre84,C084,2023-07-01T00:00:00.000+02:00
KeyConsult24603,KeyPatient29291,Name29291,FistName29291,NS24604,2023-06-30T00:00:00.000+02:00,Pathology27,KeyChambre27,C027,2023-07-02T00:00:00.000+02:00
KeyConsult24604,KeyPatient49344,Name49344,FistName49344,NS24605,2023-06-30T00:00:00.000+02:00,Pathology85,KeyChambre79,C079,2023-07-07T00:00:00.000+02:00
KeyConsult24605,KeyPatient8271,Name8271,FistName8271,NS24606,2023-06-30T00:00:00.000+02:00,Pathology13,KeyChambre29,C029,2023-07-01T00:00:00.000+02:00
KeyConsult24606,KeyPatient41057,Name41057,FistName41057,NS24607,2023-06-30T00:00:00.000+02:00,Pathology81,KeyChambre20,C020,2023-07-08T00:00:00.000+02:00
KeyConsult24607,KeyPatient49751,Name49751,FistName49751,NS24608,2023-06-30T00:00:00.000+02:00,Pathology4,NULL,NULL,2023-06-30T00:00:00.000+02:00
KeyConsult24608,KeyPatient26962,Name26962,FistName26962,NS24609,2023-06-30T00:00:00.000+02:00,Pathology42,NULL,NULL,2023-06-30T00:00:00.000+02:00
KeyConsult24609,KeyPatient36846,Name36846,FistName36846,NS24610,2023-06-30T00:00:00.000+02:00,Pathology71,KeyChambre98,C098,2023-07-08T00:00:00.000+02:00
KeyConsult24610,KeyPatient39636,Name39636,FistName39636,NS24611,2023-06-30T00:00:00.000+02:00,Pathology21,NULL,NULL,2023-06-30T00:00:00.000+02:00
KeyConsult24611,KeyPatient35940,Name35940,FistName35940,NS24612,2023-06-30T00:00:00.000+02:00,Pathology4,KeyChambre3,C003,2023-07-01T00:00:00.000+02:00
KeyConsult24612,KeyPatient21501,Name21501,FistName21501,NS24613,2023-06-30T00:00:00.000+02:00,Pathology88,KeyChambre49,C049,2023-07-10T00:00:00.000+02:00
KeyConsult24613,KeyPatient49714,Name49714,FistName49714,NS24614,2023-06-30T00:00:00.000+02:00,Pathology64,KeyChambre4,C004,2023-07-03T00:00:00.000+02:00
KeyConsult24614,KeyPatient23178,Name23178,FistName23178,NS24615,2023-06-30T00:00:00.000+02:00,Pathology4,NULL,NULL,2023-06-30T00:00:00.000+02:00
KeyConsult24615,KeyPatient542,Name542,FistName542,NS24616,2023-06-30T00:00:00.000+02:00,Pathology47,KeyChambre80,C080,2023-07-01T00:00:00.000+02:00
KeyConsult24616,KeyPatient48597,Name48597,FistName48597,NS24617,2023-06-30T00:00:00.000+02:00,Pathology28,KeyChambre5,C005,2023-07-02T00:00:00.000+02:00
KeyConsult24617,KeyPatient46266,Name46266,FistName46266,NS24618,2023-06-30T00:00:00.000+02:00,Pathology63,KeyChambre89,C089,2023-07-05T00:00:00.000+02:00
KeyConsult24618,KeyPatient16317,Name16317,FistName16317,NS24619,2023-06-30T00:00:00.000+02:00,Pathology35,KeyChambre73,C073,2023-07-01T00:00:00.000+02:00
KeyConsult24619,KeyPatient16226,Name16226,FistName16226,NS24620,2023-06-30T00:00:00.000+02:00,Pathology19,KeyChambre97,C097,2023-07-01T00:00:00.000+02:00
KeyConsult24620,KeyPatient2883,Name2883,FistName2883,NS24621,2023-06-30T00:00:00.000+02:00,Pathology87,KeyChambre42,C042,2023-07-14T00:00:00.000+02:00
KeyConsult24621,KeyPatient32173,Name32173,FistName32173,NS24622,2023-06-30T00:00:00.000+02:00,Pathology79,KeyChambre66,C066,2023-07-01T00:00:00.000+02:00
KeyConsult24622,KeyPatient29503,Name29503,FistName29503,NS24623,2023-06-30T00:00:00.000+02:00,Pathology34,NULL,NULL,2023-06-30T00:00:00.000+02:00
KeyConsult24623,KeyPatient6461,Name6461,FistName6461,NS24624,2023-06-30T00:00:00.000+02:00,Pathology23,KeyChambre29,C029,2023-07-01T00:00:00.000+02:00
KeyConsult24624,KeyPatient6580,Name6580,FistName6580,NS24625,2023-06-30T00:00:00.000+02:00,Pathology50,NULL,NULL,2023-06-30T00:00:00.000+02:00
KeyConsult24625,KeyPatient19795,Name19795,FistName19795,NS24626,2023-06-30T00:00:00.000+02:00,Pathology79,KeyChambre70,C070,2023-07-03T00:00:00.000+02:00
KeyConsult24626,KeyPatient30263,Name30263,FistName30263,NS24627,2023-06-30T00:00:00.000+02:00,Pathology22,KeyChambre76,C076,2023-07-02T00:00:00.000+02:00
KeyConsult24627,KeyPatient30171,Name30171,FistName30171,NS24628,2023-06-30T00:00:00.000+02:00,Pathology20,KeyChambre77,C077,2023-07-01T00:00:00.000+02:00
KeyConsult24628,KeyPatient45334,Name45334,FistName45334,NS24629,2023-06-30T00:00:00.000+02:00,Pathology61,KeyChambre35,C035,2023-07-01T00:00:00.000+02:00
KeyConsult24629,KeyPatient13617,Name13617,FistName13617,NS24630,2023-06-30T00:00:00.000+02:00,Pathology15,KeyChambre19,C019,2023-07-02T00:00:00.000+02:00
KeyConsult24630,KeyPatient45973,Name45973,FistName45973,NS24631,2023-06-30T00:00:00.000+02:00,Pathology54,KeyChambre21,C021,2023-07-01T00:00:00.000+02:00
KeyConsult24631,KeyPatient22882,Name22882,FistName22882,NS24632,2023-06-30T00:00:00.000+02:00,Pathology47,NULL,NULL,2023-06-30T00:00:00.000+02:00
KeyConsult24632,KeyPatient48371,Name48371,FistName48371,NS24633,2023-06-30T00:00:00.000+02:00,Pathology41,KeyChambre92,C092,2023-07-02T00:00:00.000+02:00
KeyConsult24633,KeyPatient35947,Name35947,FistName35947,NS24634,2023-06-30T00:00:00.000+02:00,Pathology19,KeyChambre69,C069,2023-07-02T00:00:00.000+02:00
KeyConsult24634,KeyPatient34549,Name34549,FistName34549,NS24635,2023-06-30T00:00:00.000+02:00,Pathology64,KeyChambre48,C048,2023-07-04T00:00:00.000+02:00
KeyConsult24635,KeyPatient20193,Name20193,FistName20193,NS24636,2023-06-30T00:00:00.000+02:00,Pathology41,KeyChambre34,C034,2023-07-01T00:00:00.000+02:00
KeyConsult24636,KeyPatient13174,Name13174,FistName13174,NS24637,2023-06-30T00:00:00.000+02:00,Pathology56,KeyChambre51,C051,2023-07-01T00:00:00.000+02:00
KeyConsult24637,KeyPatient9244,Name9244,FistName9244,NS24638,2023-06-30T00:00:00.000+02:00,Pathology56,KeyChambre92,C092,2023-07-01T00:00:00.000+02:00
KeyConsult24638,KeyPatient47653,Name47653,FistName47653,NS24639,2023-06-30T00:00:00.000+02:00,Pathology92,KeyChambre44,C044,2023-07-18T00:00:00.000+02:00
KeyConsult24639,KeyPatient46559,Name46559,FistName46559,NS24640,2023-06-30T00:00:00.000+02:00,Pathology15,KeyChambre96,C096,2023-07-02T00:00:00.000+02:00
KeyConsult24640,KeyPatient8095,Name8095,FistName8095,NS24641,2023-06-30T00:00:00.000+02:00,Pathology41,KeyChambre86,C086,2023-07-01T00:00:00.000+02:00
KeyConsult24641,KeyPatient5006,Name5006,FistName5006,NS24642,2023-06-30T00:00:00.000+02:00,Pathology3,KeyChambre24,C024,2023-07-02T00:00:00.000+02:00
KeyConsult24642,KeyPatient16201,Name16201,FistName16201,NS24643,2023-06-30T00:00:00.000+02:00,Pathology86,KeyChambre32,C032,2023-07-13T00:00:00.000+02:00
KeyConsult24643,KeyPatient4262,Name4262,FistName4262,NS24644,2023-06-30T00:00:00.000+02:00,Pathology99,KeyChambre66,C066,2023-07-10T00:00:00.000+02:00
